round,confidence,champion_id,champion_name,champion_name_zh,primary_category,primary_category_zh,observations,matches,armor_mean,armor_p25,armor_median,armor_p75,mr_mean,mr_p25,mr_median,mr_p75
1,high,134,Syndra,暗黑元首,Mage,法师,9,8,36.33,35,35,35,37.33,36,36,36
1,high,67,Vayne,暗夜猎手,Marksman,射手,35,27,35.49,34,34,34,37.37,36,36,36
1,high,266,Aatrox,暗裔剑魔,Fighter,战士,7,6,70.71,55,70,80,55.71,45,45,67.5
1,high,107,Rengar,傲之追猎者,Assassin,刺客,10,9,55,50,50,50,48,45,45,45
1,high,112,Viktor,奥术先驱,Mage,法师,13,12,39.77,34,34,34,38.31,36,36,36
1,high,950,Naafiri,百裂冥犬,Assassin,刺客,18,16,46.5,44,44,44,47.5,45,45,45
1,high,240,Kled,暴怒骑士,Fighter,战士,13,13,48.77,42,42,54,43.92,31,31,61
1,high,222,Jinx,暴走萝莉,Marksman,射手,9,8,36,36,36,36,36,36,36,36
1,high,115,Ziggs,爆破鬼才,Mage,法师,9,9,32,32,32,32,36,36,36,36
1,high,113,Sejuani,北地之怒,Tank,坦克,7,6,87.86,70,91,96,103.14,89,115,115
1,high,34,Anivia,冰晶凤凰,Mage,法师,6,5,29,29,29,29,36,36,36,36
1,high,127,Lissandra,冰霜女巫,Mage,法师,10,9,33.2,32,32,32,41.7,36,36,36
1,high,895,Nilah,不羁之悦,Fighter,战士,10,10,46,43,43,43,48,45,45,45
1,high,904,Zaahen,不落魔锋,Fighter,战士,10,10,60,53,53,53,52.5,45,45,56.25
1,high,106,Volibear,不灭狂雷,Fighter,战士,4,4,51,51,51,51,60,45,60,75
1,high,804,Yunara,不破之誓,Marksman,射手,14,13,36,36,36,36,36,36,36,36
1,high,80,Pantheon,不屈之枪,Fighter,战士,8,7,57,57,57,57,52.25,41,41,71
1,high,55,Katarina,不祥之刃,Assassin,刺客,19,19,52.53,49,49,49,46.16,45,45,45
1,high,523,Aphelios,残月之肃,Marksman,射手,6,6,40.5,36,36,45,38,36,36,36
1,high,105,Fizz,潮汐海灵,Assassin,刺客,13,12,44.85,43,43,43,50.31,45,45,45
1,high,110,Varus,惩戒之箭,Marksman,射手,8,8,36.25,34,34,35.5,38.25,36,36,37.5
1,high,901,Smolder,炽炎雏龙,Marksman,射手,25,23,34.48,34,34,34,36.48,36,36,36
1,high,711,Vex,愁云使者,Mage,法师,7,6,34,34,34,34,36.14,34,34,34
1,high,427,Ivern,翠神,Support,辅助,11,10,40.18,38,38,38,38.18,36,36,36
1,high,74,Heimerdinger,大发明家,Mage,法师,6,6,38.5,29,35,43.25,43,36,36,45
1,high,39,Irelia,刀锋舞者,Fighter,战士,6,6,57.17,53,53,53,43,43,43,43
1,high,91,Talon,刀锋之影,Assassin,刺客,13,13,49.69,47,47,47,51.54,49,49,49
1,high,5,XinZhao,德邦总管,Fighter,战士,15,12,51,51,51,51,54,45,45,60
1,high,59,JarvanIV,德玛西亚皇子,Fighter,战士,11,11,63.45,53,56,78,52.91,45,45,51
1,high,86,Garen,德玛西亚之力,Fighter,战士,12,12,59.75,57,57,57,52.25,47,47,50
1,high,133,Quinn,德玛西亚之翼,Marksman,射手,9,8,40.67,39,39,39,39.33,36,36,36
1,high,235,Senna,涤魂圣枪,Support,辅助,7,7,36.71,35,35,35,39.86,36,36,42
1,high,25,Morgana,堕落天使,Support,辅助,13,13,35,35,35,35,36,36,36,36
1,high,35,Shaco,恶魔小丑,Assassin,刺客,9,9,46.44,46,46,46,45,45,45,45
1,high,61,Orianna,发条魔灵,Mage,法师,9,8,37.33,36,36,36,39.33,38,38,38
1,high,104,Graves,法外狂徒,Marksman,射手,18,17,53.17,44,44,66.5,38.67,36,36,36
1,high,92,Riven,放逐之刃,Fighter,战士,7,7,70.43,49,49,99,70.71,45,45,95
1,high,40,Janna,风暴之怒,Support,辅助,2,2,39,39,39,39,36,36,36,36
1,high,777,Yone,封魔剑魂,Fighter,战士,5,5,50,50,50,50,48,45,45,45
1,high,201,Braum,弗雷尔卓德之心,Tank,坦克,8,8,64.38,52,58,77,57.38,45,57,63.75
1,high,13,Ryze,符文法师,Mage,法师,7,7,32,32,32,32,44.43,38,38,38
1,high,63,Brand,复仇焰魂,Mage,法师,19,19,34.63,34,34,34,36.63,36,36,36
1,high,429,Kalista,复仇之矛,Marksman,射手,6,6,37.67,36,36,36,37.67,36,36,36
1,high,99,Lux,光辉女郎,Mage,法师,7,7,35.14,33,33,33,36,36,36,36
1,high,7,Leblanc,诡术妖姬,Assassin,刺客,6,6,34,32,32,32,38,36,36,36
1,high,420,Illaoi,海兽祭司,Fighter,战士,5,5,59.4,52,52,64,53.4,45,45,57
1,high,41,Gangplank,海洋之灾,Fighter,战士,10,9,48,48,48,48,45,45,45,45
1,high,876,Lillia,含羞蓓蕾,Fighter,战士,3,3,38,38,38,38,44,44,44,44
1,high,22,Ashe,寒冰射手,Marksman,射手,11,10,37,37,37,37,36,36,36,36
1,high,223,TahmKench,河流之王,Tank,坦克,6,6,60.17,56,56,56,50,45,45,45
1,high,1,Annie,黑暗之女,Mage,法师,8,7,33.5,33,33,33,36.25,36,36,36
1,high,497,Rakan,幻翎,Support,辅助,5,5,49.4,47,47,47,47.4,45,45,45
1,high,267,Nami,唤潮鲛姬,Support,辅助,9,9,47,41,41,41,42,36,36,36
1,high,58,Renekton,荒漠屠夫,Fighter,战士,6,5,66.67,53,59,74.75,53,41,47,66.5
1,high,805,Locke,灰烬驱魔人,Assassin,刺客,10,9,48,48,48,48,48,45,45,45
1,high,412,Thresh,魂锁典狱长,Support,辅助,10,10,58.3,47,53,68.75,48.3,36,42,61.5
1,high,68,Rumble,机械公敌,Fighter,战士,8,8,54.88,53,53,53,40,40,40,40
1,high,157,Yasuo,疾风剑豪,Fighter,战士,16,16,51.81,49,49,49,46.25,45,45,45
1,high,131,Diana,皎月女神,Fighter,战士,7,7,49.14,47,47,47,45,45,45,45
1,high,517,Sylas,解脱者,Mage,法师,20,18,52.7,47,47,47,53.2,46,46,46
1,high,143,Zyra,荆棘之兴,Mage,法师,13,12,39.92,39,39,39,36.92,36,36,36
1,high,103,Ahri,九尾妖狐,Mage,法师,12,12,35.5,31,31,34,40.5,36,36,39
1,high,79,Gragas,酒桶,Fighter,战士,13,12,59.92,55,55,55,48,45,45,45
1,high,48,Trundle,巨魔之王,Fighter,战士,6,5,62.67,53,54.5,72.5,50,45,45,45
1,high,4,TwistedFate,卡牌大师,Mage,法师,10,9,35,35,35,35,36,36,36,36
1,high,85,Kennen,狂暴之心,Mage,法师,11,11,40,40,40,40,36,36,36,36
1,high,233,Briar,狂厄蔷薇,Fighter,战士,13,12,48,44,44,44,50.54,45,45,45
1,high,76,Nidalee,狂野女猎手,Assassin,刺客,6,6,50.5,43,43,54.25,41,36,36,36
1,high,2,Olaf,狂战士,Fighter,战士,10,10,62.7,51,51,76,52.2,45,45,54
1,high,84,Akali,离群之刺,Assassin,刺客,6,6,40,40,40,40,50,50,50,50
1,high,888,Renata,炼金男爵,Support,辅助,16,14,38.75,38,38,38,36.75,36,36,36
1,high,27,Singed,炼金术士,Tank,坦克,15,14,57.4,50,50,62,57.4,45,57,73.5
1,high,887,Gwen,灵罗娃娃,Fighter,战士,7,6,56,56,56,56,45,45,45,45
1,high,800,Mel,流光镜影,Mage,法师,10,10,33,33,33,33,36,36,36,36
1,high,102,Shyvana,龙血武姬,Fighter,战士,16,14,59.38,54,54,57,49.25,47,47,47
1,high,18,Tristana,麦林炮手,Marksman,射手,18,18,42.22,40,40,40,36.11,34,34,34
1,high,23,Tryndamere,蛮族之王,Fighter,战士,9,9,52.67,50,50,50,47.67,45,45,45
1,high,64,LeeSin,盲僧,Fighter,战士,26,23,58.73,52,52,52,50.77,45,45,45
1,high,150,Gnar,迷失之牙,Fighter,战士,7,7,50.43,47,47,53,56.14,48,54,64.5
1,high,902,Milio,明烛,Support,辅助,9,9,40,37,37,37,37.33,36,36,36
1,high,350,Yuumi,魔法猫咪,Support,辅助,16,14,35.75,35,35,35,31.75,31,31,31
1,high,69,Cassiopeia,魔蛇之拥,Mage,法师,13,13,29,29,29,29,38,38,38,38
1,high,83,Yorick,牧魂人,Fighter,战士,10,10,62.1,52,52,73.75,60.6,45,45,75
1,high,142,Zoe,暮光星灵,Mage,法师,5,5,32,32,32,32,36,36,36,36
1,high,98,Shen,暮光之眼,Tank,坦克,6,6,62.33,50,56,71.75,61.5,57,58.5,71.25
1,high,897,KSante,纳祖芒荣耀,Tank,坦克,19,18,70.21,54,66,84,61.58,49,58,73
1,high,498,Xayah,逆羽,Marksman,射手,8,8,42.5,35,35,35,43.5,36,36,36
1,high,12,Alistar,牛头酋长,Tank,坦克,13,12,66.31,57,57,69,53.77,45,45,57
1,high,57,Maokai,扭曲树精,Tank,坦克,10,10,63.5,53,53,78,54,45,45,45
1,high,50,Swain,诺克萨斯统领,Mage,法师,14,12,41.29,36,36,45,44.07,37,37,37
1,high,122,Darius,诺克萨斯之手,Fighter,战士,12,12,66.17,55,55,72.5,57,45,45,75
1,high,33,Rammus,披甲龙龟,Tank,坦克,6,5,77.67,76,78.5,88.5,55,45,45,45
1,high,51,Caitlyn,皮城女警,Marksman,射手,11,10,38,38,38,38,36,36,36,36
1,high,254,Vi,皮城执法官,Fighter,战士,14,14,48.71,47,47,47,53.14,45,45,57
1,high,234,Viego,破败之王,Fighter,战士,12,12,53.08,51,51,51,50,45,45,45
1,high,62,MonkeyKing,齐天大圣,Fighter,战士,11,10,74.91,64,80,80,54.64,41,41,71
1,high,37,Sona,琴瑟仙女,Support,辅助,18,16,36,36,36,36,36,36,36,36
1,high,164,Camille,青钢影,Fighter,战士,5,5,63.4,51,51,76,53.4,45,45,57
1,high,119,Draven,荣耀行刑官,Marksman,射手,6,6,42,40,40,40,38,36,36,36
1,high,54,Malphite,熔岩巨兽,Tank,坦克,10,10,107.6,83,119,119,57.5,41,41,71
1,high,526,Rell,镕铁少女,Tank,坦克,8,8,63.63,46,60,76.75,59,47,58.5,70.25
1,high,268,Azir,沙漠皇帝,Mage,法师,8,8,36,36,36,36,36,36,36,36
1,high,360,Samira,沙漠玫瑰,Marksman,射手,8,8,43.5,37,40,45.25,37.5,36,36,37.5
1,high,75,Nasus,沙漠死神,Fighter,战士,5,5,67.4,63,66,76,53.4,45,45,57
1,high,516,Ornn,山隐之焰,Tank,坦克,16,16,67.06,58,58,78,62.63,52,52,73.25
